OTU_ID,HOF033,HOF028,HOF079,HOF078,HOF052,HOF036,HOF038,HOF068,HOF004,HOF084,HOF064,HOF085,HOF009,HOF073,HOF082,HOF012,HOF063,HOF071,HOF074,HOF015,HOF070,HOF116,HOF066,HOF060,HOF089,HOF011,HOF069,HOF037,HOF131,HOF047,HOF021,HOF056,HOF019,HOF059,HOF065,HOF121,HOF032,HOF072,HOF075,HOF005,HOF098,HOF086,HOF057,HOF007,HOF039,HOF044,HOF141,HOF029,HOF013,HOF117,HOF010,HOF046,HOF061,HOF043,HOF143,HOF140,HOF090,HOF030,HOF002,HOF106,HOF034,HOF023,HOF154,HOF093,HOF126,HOF003,HOF041,HOF040,HOF150,HOF050,HOF092,HOF016,HOF096,HOF119,HOF105,HOF136,HOF077,HOF128,HOF137,HOF111,HOF026,HOF104,HOF006,HOF122,HOF049,HOF125,HOF103,HOF133,HOF123,HOF124,HOF042,HOF114,HOF135,HOF045,HOF083,HOF142,HOF058,HOF155,HOF048,HOF076,HOF130,HOF129,HOF145,HOF115,HOF091,HOF139,HOF118,HOF102,HOF109,HOF149,HOF088,HOF108,HOF024,HOF157,HOF132,HOF134,HOF160,HOF101,HOF099,HOF110,HOF053,HOF158,HOF113,HOF138,HOF107,HOF094,HOF087,HOF035,HOF051,HOF025,HOF081,HOF055,HOF095,HOF022,HOF153,HOF001,HOF062,HOF147,HOF151,HOF018,HOF146,HOF008,HOF100,HOF127,HOF027,HOF080,HOF144,HOF054,HOF014,HOF152,HOF112,HOF067,HOF020,HOF017,HOF156,HOF148,HOF159,HOF031,HOF097,HOF120
CL00001,7655,926,0,0,9753,0,68,14355,1883,17,5,2,3628,0,2,231,0,0,5,603,7708,18,142,1545,17,0,9746,7,0,0,1,117,11,2886,8,29,641,0,191,78,0,1,2516,1768,66,6668,8,461,686,723,81,1,0,6817,991,4756,23,8,197,0,1027,121,1,0,11,1586,252,10,3,71,0,0,0,156,0,47,0,1425,1798,2,0,3,19,412,4,54,0,3712,824,441,2136,4,67,167,0,359,3300,9,1,1,76,79,19,4,0,6106,417,0,5,1,94,2,17,0,667,1558,3,0,0,4,4510,0,0,2654,2,0,44,1666,96,22,0,160,0,26,0,0,1,1,0,264,2,1295,0,336,11,13,209,2029,297,0,5,1865,0,152,0,7,0,0,0,0
CL00002,661,4364,1240,2177,2291,95,870,2209,770,288,161,182,481,801,2185,277,827,993,382,154,335,128,281,306,45,42,752,612,161,2088,29,302,607,445,71,1504,686,749,112,119,481,483,982,801,226,262,436,1091,142,163,41,593,155,414,417,172,76,513,736,241,303,585,285,823,920,732,260,94,58,22,4023,19,40,61,9,23,1383,936,750,123,217,37,27,1476,222,206,61,356,947,643,283,125,85,34,360,645,339,65,687,211,581,835,148,47,1309,256,44,133,82,121,57,161,524,110,441,44,46,0,69,44,503,54,177,282,216,2,137,123,154,204,644,11,121,412,187,3,353,58,12,246,17,269,0,934,682,149,92,49,87,157,284,711,17,168,24,68,55,23,76,1
CL00003,170,621,0,0,1,10,163,114,7099,13,6,0,4404,84,0,55,2,0,54,8361,39,0,0,662,0,1,81,71,2,0,6,1,3847,79,213,0,69,3,6,2423,4,0,0,461,1460,17,9,433,101,0,2611,0,0,0,83,3260,0,3027,311,0,123,227,2339,0,0,1202,0,3363,155,0,0,3,0,24,617,1,0,0,33,0,5,98,6,0,4,16,0,30,0,0,0,30,4415,1929,18,32,2,2004,2,0,29,1,1450,10,0,222,18,0,4,46,0,0,1096,0,4,301,21,0,90,0,2,0,36,51,0,0,0,36,0,2216,0,1021,0,54,487,0,0,3,2,388,0,437,10,0,16,0,230,56,1220,30,3,1,460,107,0,4,2,2,0,0
CL00004,0,0,0,0,489,0,0,1,0,315,2,59,0,0,15002,0,0,0,0,0,17,1,0,2059,65,0,8,2,0,0,0,716,0,2077,0,2696,0,0,2,0,1,1032,4415,0,0,1587,81,0,0,41,0,0,0,439,888,21,122,0,0,0,0,0,95,6,3,0,0,0,3,27,0,0,0,46,0,35,0,91,2397,0,0,0,0,3960,17,174,0,811,4979,2265,39,0,261,2095,3283,563,3081,3,7,0,408,170,192,0,0,563,52,0,0,10,129,0,0,0,128,467,7,0,0,2,1120,0,0,2221,0,3,1530,0,1,0,1168,243,103,0,8,0,0,0,0,0,0,0,61,1,0,0,199,1743,0,139,1,0,0,0,0,22,0,0,0,0
CL00005,4,0,13,0,0,0,0,0,2100,0,0,1,0,16087,0,1,0,2688,18571,1,0,121,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10320,6413,65,0,0,1,1,0,3,0,0,0,3209,0,2,0,0,0,0,0,0,1531,0,0,31,0,0,0,2759,0,1,0,2,0,0,0,818,0,0,0,0,0,0,0,0,1,0,7,3,0,1,0,0,0,0,22,38,0,0,0,0,0,0,0,0,0,1,0,0,956,0,78,0,0,105,6,0,1,0,2,0,0,4,0,0,0,0,7,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
CL00006,53,48,8248,4182,42,171,0,306,0,97,596,179,3,819,441,0,245,2948,906,8,619,844,803,311,94,0,479,46,1,204,634,1355,1,600,60,0,19,431,376,0,646,154,463,2,4,210,0,11,0,253,1,558,412,103,2,0,91,7,7,521,11,107,4,38,0,0,423,15,0,23,86,10,554,84,39,0,765,0,0,81,306,151,22,0,390,84,244,6,0,1,43,22,5,187,132,0,551,1,52,2297,0,41,1,24,70,0,179,147,285,0,12,244,47,0,0,1,0,1969,124,596,14,0,37,0,75,308,13,2,68,14,247,11,22,156,0,16,43,0,1,1,0,1,284,0,61,405,0,28,0,0,56,111,0,0,0,0,0,47,238,0
CL00007,1125,1576,1111,1889,196,93,1048,2215,345,156,188,104,528,1414,549,136,886,337,379,59,316,178,117,59,196,17,407,839,100,399,96,47,278,90,71,79,597,964,70,120,308,135,223,305,433,129,158,573,69,394,111,61,81,263,303,188,173,180,189,67,462,848,388,228,81,244,47,256,198,28,533,24,103,239,17,79,966,264,312,94,122,100,17,162,174,43,301,293,130,136,152,325,92,27,114,180,88,320,428,137,180,327,102,150,82,159,279,420,75,220,158,104,371,262,344,71,208,46,170,71,60,147,687,198,123,103,163,217,38,168,61,4,41,400,106,11,280,103,47,81,46,125,64,214,306,46,71,27,19,87,354,418,29,43,87,95,211,67,48,0
CL00008,5916,1754,0,0,0,3,2401,0,271,0,0,0,231,0,0,0,0,0,6,1,0,0,0,0,44,0,0,1082,0,0,0,0,1646,0,6,0,2448,0,0,6,0,17,0,39,910,0,4,1253,0,0,15,0,0,0,1366,196,1,685,8,0,1249,0,516,0,0,81,0,106,35,0,0,0,0,0,0,0,0,1567,0,0,0,8,0,0,0,460,51,272,10,217,0,0,1240,0,1,217,0,18,0,0,101,2061,2416,0,0,0,0,9,0,119,43,0,1,1718,40,439,344,0,0,0,0,783,0,1,0,0,50,1312,0,1,0,0,1,1,1262,0,0,92,75,11,0,1,0,222,73,0,1665,0,0,1304,0,0,13,12,23,161,253,7,0,0
CL00009,0,0,0,0,157,0,0,0,1,268,8,170,1,93,1458,14,32,809,503,14,55,2067,0,0,666,5,0,0,1251,69,0,114,3,23,0,748,0,261,60,1,326,2797,169,0,0,422,77,0,10,1081,12,51,41,426,7,236,386,0,0,646,0,3,154,30,1770,0,533,0,63,13,92,7,1459,94,7,753,1,827,797,149,0,36,0,979,20,114,98,652,420,248,647,86,156,194,181,5,41,98,22,7,403,334,13,39,81,222,89,137,84,42,496,154,0,57,1397,254,53,917,136,48,7,12,122,321,107,23,1066,0,7,0,756,2,128,0,41,0,47,47,103,1,56,0,166,1313,0,10,3,1,0,116,345,0,0,8,36,31,15,0,172,0
CL00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4026,0,0,0,0,0,2045,0,0,0,0,0,328,0,0,0,0,4035,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,163,0,0,1,0,0,0,0,2634,0,0,0,0,0,0,0,0,694,0,0,916,4130,0,0,1,0,0,4,0,5,0,0,0,0,0,0,0,655,0,0,0,0,0,21,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,1,0,0,0
CL00011,262,475,133,408,792,209,436,427,243,124,30,583,243,398,275,603,214,621,400,68,149,1217,128,138,151,61,43,850,437,892,22,410,389,121,24,223,219,471,68,105,184,1135,781,713,83,37,220,112,222,229,48,287,454,103,67,109,65,26,480,611,45,68,275,51,731,332,514,70,72,6,347,153,288,49,16,63,673,196,347,191,85,37,50,259,61,47,54,277,64,81,257,55,235,51,164,50,130,129,174,296,138,144,35,45,100,144,36,375,74,116,65,163,24,618,325,151,78,241,103,68,86,76,124,102,211,49,130,59,142,18,190,10,130,94,102,14,319,164,68,100,144,157,42,268,138,62,34,25,29,140,199,121,32,202,251,85,54,13,34,0
CL00012,173,274,0,13,1125,0,63,1,297,5,0,78,981,298,24,4528,1,33,88,3280,49,40,0,80,1,98,0,14,2,102,4,13,694,249,23,0,37,188,0,216,162,0,227,425,321,777,0,609,3758,181,161,7,0,697,0,278,7,671,157,66,57,149,88,12,0,355,13,91,0,29,9,72,1,27,93,1,10,1,4,0,3,132,1,0,345,1,309,34,1,1,133,0,2,958,7,0,306,6,148,0,0,0,2,9,0,45,56,830,58,0,2,154,68,0,29,5,1,135,24,75,861,9,2,0,318,16,1,35,15,45,3,1011,259,58,48,2,2,0,0,426,0,237,38,2,6,9,1,806,1176,4,0,0,39,961,0,0,3,1,1,0
CL00013,651,862,2226,671,9,38,813,62,185,1192,504,1658,255,285,366,307,80,4,575,76,492,0,0,1040,578,2,311,508,0,1,10,3,322,1198,566,0,310,55,218,199,687,1,11,726,281,48,43,362,248,151,92,0,1,8,14,187,297,217,386,5,189,192,392,516,1,270,0,291,431,133,15,18,1,489,9,1,9,151,53,53,15,106,10,21,192,680,363,19,114,171,2,132,80,48,553,23,184,275,24,0,204,215,117,152,0,177,234,144,369,188,388,463,188,86,6,37,221,0,537,60,14,36,103,119,269,25,14,124,1,102,1,21,103,60,72,7,3,42,22,143,13,158,13,7,103,205,10,90,33,48,119,1,16,131,4,49,89,9,59,0
CL00014,176,153,399,352,203,2587,131,422,57,145,86,54,134,42,320,82,125,271,66,41,205,291,1237,70,72,686,176,200,278,788,1095,326,400,67,41,156,70,87,88,18,717,636,155,238,42,287,165,55,72,122,214,1160,197,213,59,4,87,27,358,199,30,84,72,786,115,38,375,68,39,32,520,1372,516,39,7,171,146,10,98,334,524,21,1457,19,284,37,37,65,13,5,160,55,10,104,106,55,50,25,230,168,5,3,6,53,741,14,77,32,48,38,32,50,43,67,87,5,36,321,106,86,21,28,81,37,51,1352,78,33,176,59,121,36,60,142,39,1146,37,57,100,51,84,59,202,22,70,114,10,12,8,59,125,109,19,76,53,21,16,377,131,0
CL00015,2,0,0,0,0,0,0,1,0,0,14444,0,0,0,0,0,7846,0,0,0,0,0,0,1168,0,0,3,0,0,0,0,0,0,3184,4032,0,0,0,0,0,0,0,18,0,0,629,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,41,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
CL00016,0,0,0,0,0,0,0,1,0,148,5125,178,0,1062,0,2901,2735,0,1164,1190,73,0,0,332,0,452,3,3,0,0,0,0,0,1023,2339,0,0,484,1346,2,0,0,1,0,0,0,0,0,2011,0,0,0,14,0,0,242,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,108,4,2,1853,93,0,2,0,0,2,6,2,0,0,0,0,211,0,0,0,1,111,0,0,0,0,3,21,58,0,447,0,0,0,0,1,1,0,75,0,0,2,0,0,0,0,32,1570,1369,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,12,0,0,1066,0,1333,0,1,0,0,0,14,0,0,0
CL00017,68,34,445,170,22,3,105,72,120,205,198,438,130,60,19,24,51,6,158,246,594,6,9,824,374,8,181,42,4,25,2,4,947,241,615,1,20,34,573,2858,114,3,15,35,98,28,7,56,41,29,1928,6,12,17,30,42,977,102,10,1,94,95,44,57,2,38,1,195,223,99,11,6,8,49,65,1,15,46,9,9,9,50,4,1,99,123,21,17,3,149,14,53,51,283,21,8,141,106,28,2,210,205,91,229,2,25,23,9,62,43,38,18,191,15,6,25,228,8,66,1715,8,11,33,9,2,544,11,13,5,122,0,149,2948,31,12,0,4,10,0,49,2,24,1662,5,12,448,12,24,17,5,6,12,2903,26,2,20,35,2,19,0
CL00018,0,0,0,0,0,0,0,0,0,2180,0,5158,0,0,0,0,0,0,0,0,0,0,0,0,6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,10,3,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6685,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,73,0,3,0,0,0,0,0,0,0,437,5,0,1,5082,0,0,0,449,0,0,0,0,129,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00019,539,209,1331,2081,1396,58,1064,1929,48,25,78,12,39,621,172,48,489,320,56,0,270,0,164,117,10,2,683,818,127,219,21,281,5,28,30,2,628,517,25,23,51,56,388,349,168,42,739,89,17,1,2,30,52,105,846,88,25,39,469,0,140,284,426,76,7,184,24,72,214,0,174,1,0,2,2,11,455,104,540,62,21,15,6,5,49,5,54,189,10,9,51,67,42,0,29,871,64,70,259,52,86,93,156,28,19,147,0,149,2,160,29,2,57,279,516,32,32,0,3,2,167,116,114,237,10,0,63,97,88,30,5,1,2,168,211,2,177,195,32,15,34,25,0,47,47,146,167,25,1,159,243,387,0,11,52,112,88,17,12,0
CL00020,91,243,578,1349,1271,137,144,353,12,67,44,32,43,369,117,593,72,1331,257,39,92,366,70,209,62,239,69,424,534,144,7,175,90,118,27,207,145,603,141,128,53,550,382,288,21,317,140,87,263,394,78,26,168,644,20,71,84,33,82,402,35,33,184,3,216,36,703,34,56,13,2,239,37,173,3,138,1213,31,463,462,52,42,29,62,36,15,162,94,36,36,502,47,37,17,53,53,130,48,154,299,41,19,24,34,4,115,248,200,64,61,25,126,31,323,239,26,110,0,22,9,215,63,127,175,275,4,67,17,282,15,100,1,14,21,152,14,106,192,353,31,224,32,0,96,177,104,0,55,19,199,253,123,125,138,180,42,24,14,7,0
CL00021,352,583,1922,1310,636,105,415,455,74,28,62,148,49,314,378,222,213,353,239,84,249,558,51,350,57,4,179,629,18,644,11,678,132,48,153,15,246,526,285,105,97,440,722,157,203,32,82,276,112,15,67,146,88,53,60,99,41,334,188,131,143,271,69,100,41,93,108,160,127,110,469,13,6,1,15,5,366,183,96,98,24,27,8,42,557,47,30,52,47,24,83,109,29,30,293,87,99,343,321,52,70,114,77,57,63,139,9,264,135,29,26,211,152,92,103,51,308,122,39,183,150,23,241,82,118,27,65,64,182,76,50,41,107,121,55,3,75,25,5,16,5,19,37,80,84,349,28,125,21,37,215,148,91,46,9,48,45,20,16,0
CL00022,0,0,0,0,0,0,0,0,1200,0,0,0,9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3487,0,30,0,0,0,0,34,0,0,0,4315,1,0,0,0,0,0,313,0,0,0,0,0,0,0,7,0,0,2,0,0,0,709,0,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,4,0,0,0,0,0,1561,0,3010,0,0,0,0,0,0,0,0,0,0,15,674,0,0,0,0,0,0
CL00023,3043,870,12,121,705,0,55,37,190,0,91,14,204,1295,129,74,319,128,268,51,95,634,1,74,3,2,8,10,0,75,13,3,32,12,13,0,402,822,40,47,60,0,88,247,25,106,1,2073,61,1985,17,3,6,243,0,45,8,1020,91,0,1928,1345,76,1,1,214,1,18,5,2,5,3,0,132,2,0,26,2,0,0,1,35,2,3,229,3,272,10,1,12,36,0,8,32,66,0,76,9,186,2,3,1,1,1,0,5,335,368,18,0,1,22,591,124,4,6,21,157,0,44,220,72,1,4,26,18,0,838,6,138,0,16,41,268,48,0,24,0,0,33,0,91,58,0,24,0,0,63,10,18,0,7,33,42,2,0,50,11,28,0
CL00024,45,24,180,253,102,1098,196,297,2,80,89,68,7,265,176,2,130,1687,466,2,284,1306,1501,94,24,2,206,106,0,99,269,1740,5,77,18,0,24,236,236,11,390,247,362,2,5,176,0,6,0,183,10,291,423,171,0,9,69,1,14,936,5,51,0,50,0,1,941,7,0,10,87,17,1447,76,55,1,80,0,0,495,87,76,13,0,31,58,127,1,0,1,111,20,7,177,60,0,153,0,52,143,0,0,1,60,208,0,129,124,141,0,7,130,4,0,1,0,0,1472,158,375,8,0,49,0,84,127,10,8,475,11,282,36,30,79,0,69,35,0,0,3,0,1,113,0,19,28,0,15,2,0,54,244,3,0,0,0,4,146,73,0
CL00025,0,0,0,0,0,0,0,0,0,0,638,2,0,0,0,0,294,0,0,0,0,0,0,12,767,0,0,0,0,607,0,0,0,0,807,0,0,0,0,0,3796,0,0,0,0,1,0,0,0,0,0,1,1,0,1,785,285,0,0,0,0,0,1,2753,0,0,0,0,1,85,483,0,44,0,1031,0,0,0,0,0,0,1974,0,0,436,549,630,0,1,321,0,0,1,0,0,1,0,0,638,0,1,0,355,0,1,5,0,89,357,16,122,3,0,0,0,0,0,0,4026,999,0,0,0,0,1,199,7,0,0,0,0,53,46,0,0,0,49,0,0,0,0,0,413,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,240,0
CL00026,0,3747,0,0,1430,0,0,332,301,0,0,0,87,0,0,1159,0,0,1,2400,20,0,0,0,1,4,15,3,0,0,0,0,14,0,26,0,0,0,22,10,0,0,1,331,0,2798,0,1272,1763,477,6,0,1,2706,0,95,3,30,177,0,0,1,25,0,0,426,5,1,0,28,0,0,0,124,0,3,0,4,761,1,0,0,0,32,0,27,0,192,102,120,392,0,6,61,0,0,0,0,0,0,2,1,15,1,0,172,241,0,0,0,1,0,2,0,12,55,2,0,0,0,184,0,0,499,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,13,0,169,0,0,32,0,0,4,834,1,0,7,3,24,0,0,0,0,0,0
CL00027,0,0,3,2,0,414,2,2,3,3,4,10,0,16,13,4,1,589,59,0,5,2762,1735,50,5,149,0,4,1036,28,92,1603,1,19,0,2109,0,6,80,13,12,1429,4,4,0,6,131,0,0,55,6,545,1202,1,0,1,9,0,6,629,1,0,1,2,760,0,507,2,7,0,5,630,777,12,8,324,2,6,6,906,4,2,347,3,4,8,2,10,4,7,1,5,4,0,8,0,0,0,15,809,8,3,0,31,891,0,30,5,7,1,0,1,2,0,38,0,3,161,11,24,0,0,2,24,0,3,0,0,37,0,434,3,9,0,0,419,2,19,130,0,399,0,6,0,0,285,0,0,0,0,2,90,6,2,30,0,0,4,0,0
CL00028,0,0,449,72,0,0,0,130,0,0,667,0,0,1015,0,0,35,0,657,3,476,0,0,16,0,0,388,0,0,0,0,0,0,0,2521,0,0,73,647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,5,10863,0,8,0,0,0,0,2567,0,0,1,20,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,3,38,0,0,0,0,0,0,0,16,5,0,0,0,183,0,4,0,0,0,0,1394,0,0,0,0,5,0,0,0,0,0,0,0,0,458,0,64,0,0,0,1,0,0,0,0,0,0,0,0
CL00029,63,44,288,231,40,452,13,31,32,793,42,721,17,92,51,9,15,182,54,27,116,50,214,379,179,39,49,37,45,141,245,165,105,241,288,18,37,49,514,238,206,85,51,20,13,238,105,9,2,12,287,199,77,64,23,20,442,40,16,11,20,88,34,61,24,11,75,43,144,7645,11,84,57,33,26,75,13,27,12,111,147,14,173,4,34,71,11,2,0,56,13,13,11,664,32,10,39,145,50,21,56,60,32,95,154,11,23,5,19,38,77,7,29,20,8,6,128,156,56,217,11,6,27,9,3,347,10,5,62,31,35,163,296,23,9,95,4,17,31,7,120,1,322,1,27,389,7,19,3,6,26,9,216,2,15,5,32,136,9,0
CL00030,0,274,2151,1661,290,1,0,201,39,135,333,16,112,761,453,80,363,4,499,33,637,0,1,141,61,1,387,0,4,47,0,32,11,598,302,0,0,94,206,23,829,2,384,71,0,300,16,306,90,16,20,0,3,191,185,63,25,64,12,0,1,2,310,283,0,37,6,0,67,88,36,0,0,91,1,2,71,1136,201,1,0,109,1,25,179,10,315,296,354,231,26,29,10,9,231,59,385,37,235,1,18,524,59,32,0,278,39,79,97,122,384,228,1,57,155,57,23,0,346,5,140,91,65,283,72,0,186,0,6,29,0,16,4,0,153,0,29,67,3,15,3,54,0,84,6,208,59,123,15,95,29,2,0,5,1,98,56,0,22,0
CL00031,68,446,52,18,261,701,242,16,36,60,23,296,41,26,40,33,19,183,16,30,85,537,42,89,118,30,3,657,1754,206,253,407,471,12,34,48,60,38,64,170,56,713,288,195,59,68,518,131,9,201,421,261,162,59,56,49,145,131,222,23,12,76,105,56,15,42,1027,75,65,7,83,44,26,44,2,512,21,16,182,335,1087,14,66,5,54,22,13,218,8,7,65,244,91,114,17,94,27,59,13,64,25,22,56,71,44,71,26,33,4,70,34,5,45,12,439,126,42,230,21,42,11,8,291,105,11,77,73,14,473,19,51,13,299,181,26,123,32,121,115,3,172,21,193,16,485,12,32,5,1,51,691,7,70,7,36,59,2,113,2,0
